jumpsize,sol_seed,seed,nnsize,orig_fit,perturbed_fit,perturbed_fit-div-orig_fit,orig_beer_fit,perturbed_beer_fit,perturbed_beer_fit-div-orig_beer_fit,
0.1,0,0,2,0.7211,0.7177,0.9953,0.7710,0.7772,1.0081,
0.2,0,0,2,0.7211,0.7131,0.9889,0.7710,0.7796,1.0112,
0.3,0,0,2,0.7211,0.7072,0.9808,0.7710,0.7798,1.0115,
0.4,0,0,2,0.7211,0.7006,0.9715,0.7710,0.7788,1.0102,
0.5,0,0,2,0.7211,0.6927,0.9606,0.7710,0.7759,1.0064,
0.6,0,0,2,0.7211,0.6851,0.9500,0.7710,0.7721,1.0014,
0.7,0,0,2,0.7211,0.6791,0.9418,0.7710,0.7669,0.9947,
0.8,0,0,2,0.7211,0.6728,0.9330,0.7710,0.7598,0.9855,
0.9,0,0,2,0.7211,0.6628,0.9192,0.7710,0.7529,0.9766,
1.0,0,0,2,0.7211,0.6519,0.9040,0.7710,0.7430,0.9637,
1.1,0,0,2,0.7211,0.6433,0.8921,0.7710,0.7320,0.9495,
1.2,0,0,2,0.7211,0.6334,0.8783,0.7710,0.7244,0.9395,
1.3,0,0,2,0.7211,0.6216,0.8620,0.7710,0.7130,0.9248,
1.4,0,0,2,0.7211,0.6126,0.8495,0.7710,0.7026,0.9112,
1.5,0,0,2,0.7211,0.6055,0.8397,0.7710,0.6885,0.8930,
1.6,0,0,2,0.7211,0.5933,0.8227,0.7710,0.6729,0.8728,
1.7,0,0,2,0.7211,0.5737,0.7955,0.7710,0.6638,0.8610,
1.8,0,0,2,0.7211,0.5545,0.7689,0.7710,0.6487,0.8414,
1.9,0,0,2,0.7211,0.5341,0.7406,0.7710,0.6329,0.8209,
2.0,0,0,2,0.7211,0.5193,0.7202,0.7710,0.6178,0.8013,
2.1,0,0,2,0.7211,0.5006,0.6942,0.7710,0.6031,0.7823,
2.2,0,0,2,0.7211,0.4813,0.6674,0.7710,0.5863,0.7605,
2.3,0,0,2,0.7211,0.4706,0.6526,0.7710,0.5624,0.7295,
2.4,0,0,2,0.7211,0.4561,0.6325,0.7710,0.5512,0.7149,
2.5,0,0,2,0.7211,0.4406,0.6109,0.7710,0.5251,0.6811,
2.6,0,0,2,0.7211,0.4316,0.5985,0.7710,0.5148,0.6677,
2.7,0,0,2,0.7211,0.4257,0.5903,0.7710,0.4858,0.6301,
2.8,0,0,2,0.7211,0.4023,0.5579,0.7710,0.4727,0.6132,
2.9,0,0,2,0.7211,0.3506,0.4862,0.7710,0.4414,0.5725,
3.0,0,0,2,0.7211,0.3075,0.4265,0.7710,0.4237,0.5495,
3.1,0,0,2,0.7211,0.2790,0.3869,0.7710,0.3801,0.4930,
3.2,0,0,2,0.7211,0.2510,0.3480,0.7710,0.3586,0.4651,
3.3,0,0,2,0.7211,0.2386,0.3309,0.7710,0.3186,0.4132,
3.4,0,0,2,0.7211,0.2310,0.3204,0.7710,0.2512,0.3258,
3.5,0,0,2,0.7211,0.0834,0.1157,0.7710,0.1865,0.2419,
3.6,0,0,2,0.7211,0.0563,0.0781,0.7710,0.1022,0.1325,
3.7,0,0,2,0.7211,0.0539,0.0747,0.7710,0.0000,0.0000,
3.8,0,0,2,0.7211,0.0528,0.0733,0.7710,0.0000,0.0000,
3.9,0,0,2,0.7211,0.0522,0.0724,0.7710,0.0000,0.0000,
4.0,0,0,2,0.7211,0.0518,0.0718,0.7710,0.0000,0.0000,
4.1,0,0,2,0.7211,0.0515,0.0714,0.7710,0.0000,0.0000,
4.2,0,0,2,0.7211,0.0513,0.0712,0.7710,0.0000,0.0000,
4.3,0,0,2,0.7211,0.0512,0.0709,0.7710,0.0000,0.0000,
4.4,0,0,2,0.7211,0.0510,0.0708,0.7710,0.0000,0.0000,
4.5,0,0,2,0.7211,0.0510,0.0707,0.7710,0.0000,0.0000,
4.6,0,0,2,0.7211,0.0509,0.0706,0.7710,0.0000,0.0000,
4.7,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,
4.8,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,
4.9,0,0,2,0.7211,0.0508,0.0704,0.7710,0.0000,0.0000,
0.1,0,0,10,2.5431,2.5441,1.0004,2.5995,2.5997,1.0001,
0.2,0,0,10,2.5431,2.5448,1.0006,2.5995,2.6017,1.0008,
0.3,0,0,10,2.5431,2.5450,1.0007,2.5995,2.6021,1.0010,
0.4,0,0,10,2.5431,2.5451,1.0008,2.5995,2.6037,1.0016,
0.5,0,0,10,2.5431,2.5447,1.0006,2.5995,2.6043,1.0019,
0.6,0,0,10,2.5431,2.5435,1.0001,2.5995,2.6034,1.0015,
0.7,0,0,10,2.5431,2.5417,0.9995,2.5995,2.6034,1.0015,
0.8,0,0,10,2.5431,2.5395,0.9986,2.5995,2.6018,1.0009,
0.9,0,0,10,2.5431,2.5363,0.9973,2.5995,2.5985,0.9996,
1.0,0,0,10,2.5431,2.5322,0.9957,2.5995,2.5966,0.9989,
1.1,0,0,10,2.5431,2.5273,0.9938,2.5995,2.5931,0.9976,
1.2,0,0,10,2.5431,2.5219,0.9916,2.5995,2.5884,0.9957,
1.3,0,0,10,2.5431,2.5163,0.9894,2.5995,2.5836,0.9939,
1.4,0,0,10,2.5431,2.5105,0.9872,2.5995,2.5766,0.9912,
1.5,0,0,10,2.5431,2.5046,0.9848,2.5995,2.5725,0.9896,
1.6,0,0,10,2.5431,2.4985,0.9825,2.5995,2.5661,0.9872,
1.7,0,0,10,2.5431,2.4924,0.9801,2.5995,2.5594,0.9846,
1.8,0,0,10,2.5431,2.4857,0.9774,2.5995,2.5517,0.9816,
1.9,0,0,10,2.5431,2.4789,0.9747,2.5995,2.5450,0.9790,
2.0,0,0,10,2.5431,2.4719,0.9720,2.5995,2.5369,0.9759,
2.1,0,0,10,2.5431,2.4644,0.9690,2.5995,2.5269,0.9721,
2.2,0,0,10,2.5431,2.4568,0.9660,2.5995,2.5198,0.9694,
2.3,0,0,10,2.5431,2.4487,0.9628,2.5995,2.5094,0.9653,
2.4,0,0,10,2.5431,2.4400,0.9594,2.5995,2.4992,0.9614,
2.5,0,0,10,2.5431,2.4305,0.9557,2.5995,2.4897,0.9578,
2.6,0,0,10,2.5431,2.4209,0.9519,2.5995,2.4794,0.9538,
2.7,0,0,10,2.5431,2.4103,0.9478,2.5995,2.4686,0.9496,
2.8,0,0,10,2.5431,2.3985,0.9431,2.5995,2.4557,0.9447,
2.9,0,0,10,2.5431,2.3864,0.9384,2.5995,2.4454,0.9407,
3.0,0,0,10,2.5431,2.3746,0.9337,2.5995,2.4328,0.9359,
3.1,0,0,10,2.5431,2.3626,0.9290,2.5995,2.4214,0.9315,
3.2,0,0,10,2.5431,2.3501,0.9241,2.5995,2.4081,0.9264,
3.3,0,0,10,2.5431,2.3368,0.9189,2.5995,2.3943,0.9211,
3.4,0,0,10,2.5431,2.3228,0.9134,2.5995,2.3815,0.9161,
3.5,0,0,10,2.5431,2.3085,0.9077,2.5995,2.3669,0.9105,
3.6,0,0,10,2.5431,2.2946,0.9023,2.5995,2.3515,0.9046,
3.7,0,0,10,2.5431,2.2824,0.8975,2.5995,2.3357,0.8985,
3.8,0,0,10,2.5431,2.2705,0.8928,2.5995,2.3198,0.8924,
3.9,0,0,10,2.5431,2.2578,0.8878,2.5995,2.3056,0.8869,
4.0,0,0,10,2.5431,2.2430,0.8820,2.5995,2.2896,0.8808,
4.1,0,0,10,2.5431,2.2281,0.8761,2.5995,2.2719,0.8740,
4.2,0,0,10,2.5431,2.2138,0.8705,2.5995,2.2566,0.8681,
4.3,0,0,10,2.5431,2.1959,0.8635,2.5995,2.2376,0.8608,
4.4,0,0,10,2.5431,2.1780,0.8564,2.5995,2.2210,0.8544,
4.5,0,0,10,2.5431,2.1618,0.8501,2.5995,2.2032,0.8475,
4.6,0,0,10,2.5431,2.1453,0.8436,2.5995,2.1854,0.8407,
4.7,0,0,10,2.5431,2.1263,0.8361,2.5995,2.1671,0.8337,
4.8,0,0,10,2.5431,2.1066,0.8283,2.5995,2.1488,0.8266,
4.9,0,0,10,2.5431,2.0892,0.8215,2.5995,2.1311,0.8198,
0.1,0,0,2,0.7211,0.7177,0.9953,0.7710,0.7772,1.0081,
0.2,0,0,2,0.7211,0.7131,0.9889,0.7710,0.7796,1.0112,
0.3,0,0,2,0.7211,0.7072,0.9808,0.7710,0.7798,1.0115,
0.4,0,0,2,0.7211,0.7006,0.9715,0.7710,0.7788,1.0102,
0.5,0,0,2,0.7211,0.6927,0.9606,0.7710,0.7759,1.0064,
0.6,0,0,2,0.7211,0.6851,0.9500,0.7710,0.7721,1.0014,
0.7,0,0,2,0.7211,0.6791,0.9418,0.7710,0.7669,0.9947,
0.8,0,0,2,0.7211,0.6728,0.9330,0.7710,0.7598,0.9855,
0.9,0,0,2,0.7211,0.6628,0.9192,0.7710,0.7529,0.9766,
1.0,0,0,2,0.7211,0.6519,0.9040,0.7710,0.7430,0.9637,
1.1,0,0,2,0.7211,0.6433,0.8921,0.7710,0.7320,0.9495,
1.2,0,0,2,0.7211,0.6334,0.8783,0.7710,0.7244,0.9395,
1.3,0,0,2,0.7211,0.6216,0.8620,0.7710,0.7130,0.9248,
1.4,0,0,2,0.7211,0.6126,0.8495,0.7710,0.7026,0.9112,
1.5,0,0,2,0.7211,0.6055,0.8397,0.7710,0.6885,0.8930,
1.6,0,0,2,0.7211,0.5933,0.8227,0.7710,0.6729,0.8728,
1.7,0,0,2,0.7211,0.5737,0.7955,0.7710,0.6638,0.8610,
1.8,0,0,2,0.7211,0.5545,0.7689,0.7710,0.6487,0.8414,
1.9,0,0,2,0.7211,0.5341,0.7406,0.7710,0.6329,0.8209,
2.0,0,0,2,0.7211,0.5193,0.7202,0.7710,0.6178,0.8013,
2.1,0,0,2,0.7211,0.5006,0.6942,0.7710,0.6031,0.7823,
2.2,0,0,2,0.7211,0.4813,0.6674,0.7710,0.5863,0.7605,
2.3,0,0,2,0.7211,0.4706,0.6526,0.7710,0.5624,0.7295,
2.4,0,0,2,0.7211,0.4561,0.6325,0.7710,0.5512,0.7149,
2.5,0,0,2,0.7211,0.4406,0.6109,0.7710,0.5251,0.6811,
2.6,0,0,2,0.7211,0.4316,0.5985,0.7710,0.5148,0.6677,
2.7,0,0,2,0.7211,0.4257,0.5903,0.7710,0.4858,0.6301,
2.8,0,0,2,0.7211,0.4023,0.5579,0.7710,0.4727,0.6132,
2.9,0,0,2,0.7211,0.3506,0.4862,0.7710,0.4414,0.5725,
3.0,0,0,2,0.7211,0.3075,0.4265,0.7710,0.4237,0.5495,
3.1,0,0,2,0.7211,0.2790,0.3869,0.7710,0.3801,0.4930,
3.2,0,0,2,0.7211,0.2510,0.3480,0.7710,0.3586,0.4651,
3.3,0,0,2,0.7211,0.2386,0.3309,0.7710,0.3186,0.4132,
3.4,0,0,2,0.7211,0.2310,0.3204,0.7710,0.2512,0.3258,
3.5,0,0,2,0.7211,0.0834,0.1157,0.7710,0.1865,0.2419,
3.6,0,0,2,0.7211,0.0563,0.0781,0.7710,0.1022,0.1325,
3.7,0,0,2,0.7211,0.0539,0.0747,0.7710,0.0000,0.0000,
3.8,0,0,2,0.7211,0.0528,0.0733,0.7710,0.0000,0.0000,
3.9,0,0,2,0.7211,0.0522,0.0724,0.7710,0.0000,0.0000,
4.0,0,0,2,0.7211,0.0518,0.0718,0.7710,0.0000,0.0000,
4.1,0,0,2,0.7211,0.0515,0.0714,0.7710,0.0000,0.0000,
4.2,0,0,2,0.7211,0.0513,0.0712,0.7710,0.0000,0.0000,
4.3,0,0,2,0.7211,0.0512,0.0709,0.7710,0.0000,0.0000,
4.4,0,0,2,0.7211,0.0510,0.0708,0.7710,0.0000,0.0000,
4.5,0,0,2,0.7211,0.0510,0.0707,0.7710,0.0000,0.0000,
4.6,0,0,2,0.7211,0.0509,0.0706,0.7710,0.0000,0.0000,
4.7,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,
4.8,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,
4.9,0,0,2,0.7211,0.0508,0.0704,0.7710,0.0000,0.0000,
0.1,0,0,10,2.5431,2.5441,1.0004,2.5995,2.5997,1.0001,
0.2,0,0,10,2.5431,2.5448,1.0006,2.5995,2.6017,1.0008,
0.3,0,0,10,2.5431,2.5450,1.0007,2.5995,2.6021,1.0010,
0.4,0,0,10,2.5431,2.5451,1.0008,2.5995,2.6037,1.0016,
0.5,0,0,10,2.5431,2.5447,1.0006,2.5995,2.6043,1.0019,
0.6,0,0,10,2.5431,2.5435,1.0001,2.5995,2.6034,1.0015,
0.7,0,0,10,2.5431,2.5417,0.9995,2.5995,2.6034,1.0015,
0.8,0,0,10,2.5431,2.5395,0.9986,2.5995,2.6018,1.0009,
0.9,0,0,10,2.5431,2.5363,0.9973,2.5995,2.5985,0.9996,
1.0,0,0,10,2.5431,2.5322,0.9957,2.5995,2.5966,0.9989,
1.1,0,0,10,2.5431,2.5273,0.9938,2.5995,2.5931,0.9976,
1.2,0,0,10,2.5431,2.5219,0.9916,2.5995,2.5884,0.9957,
1.3,0,0,10,2.5431,2.5163,0.9894,2.5995,2.5836,0.9939,
1.4,0,0,10,2.5431,2.5105,0.9872,2.5995,2.5766,0.9912,
1.5,0,0,10,2.5431,2.5046,0.9848,2.5995,2.5725,0.9896,
1.6,0,0,10,2.5431,2.4985,0.9825,2.5995,2.5661,0.9872,
1.7,0,0,10,2.5431,2.4924,0.9801,2.5995,2.5594,0.9846,
1.8,0,0,10,2.5431,2.4857,0.9774,2.5995,2.5517,0.9816,
1.9,0,0,10,2.5431,2.4789,0.9747,2.5995,2.5450,0.9790,
2.0,0,0,10,2.5431,2.4719,0.9720,2.5995,2.5369,0.9759,
2.1,0,0,10,2.5431,2.4644,0.9690,2.5995,2.5269,0.9721,
2.2,0,0,10,2.5431,2.4568,0.9660,2.5995,2.5198,0.9694,
2.3,0,0,10,2.5431,2.4487,0.9628,2.5995,2.5094,0.9653,
2.4,0,0,10,2.5431,2.4400,0.9594,2.5995,2.4992,0.9614,
2.5,0,0,10,2.5431,2.4305,0.9557,2.5995,2.4897,0.9578,
2.6,0,0,10,2.5431,2.4209,0.9519,2.5995,2.4794,0.9538,
2.7,0,0,10,2.5431,2.4103,0.9478,2.5995,2.4686,0.9496,
2.8,0,0,10,2.5431,2.3985,0.9431,2.5995,2.4557,0.9447,
2.9,0,0,10,2.5431,2.3864,0.9384,2.5995,2.4454,0.9407,
3.0,0,0,10,2.5431,2.3746,0.9337,2.5995,2.4328,0.9359,
3.1,0,0,10,2.5431,2.3626,0.9290,2.5995,2.4214,0.9315,
3.2,0,0,10,2.5431,2.3501,0.9241,2.5995,2.4081,0.9264,
3.3,0,0,10,2.5431,2.3368,0.9189,2.5995,2.3943,0.9211,
3.4,0,0,10,2.5431,2.3228,0.9134,2.5995,2.3815,0.9161,
3.5,0,0,10,2.5431,2.3085,0.9077,2.5995,2.3669,0.9105,
3.6,0,0,10,2.5431,2.2946,0.9023,2.5995,2.3515,0.9046,
3.7,0,0,10,2.5431,2.2824,0.8975,2.5995,2.3357,0.8985,
3.8,0,0,10,2.5431,2.2705,0.8928,2.5995,2.3198,0.8924,
3.9,0,0,10,2.5431,2.2578,0.8878,2.5995,2.3056,0.8869,
4.0,0,0,10,2.5431,2.2430,0.8820,2.5995,2.2896,0.8808,
4.1,0,0,10,2.5431,2.2281,0.8761,2.5995,2.2719,0.8740,
4.2,0,0,10,2.5431,2.2138,0.8705,2.5995,2.2566,0.8681,
4.3,0,0,10,2.5431,2.1959,0.8635,2.5995,2.2376,0.8608,
4.4,0,0,10,2.5431,2.1780,0.8564,2.5995,2.2210,0.8544,
4.5,0,0,10,2.5431,2.1618,0.8501,2.5995,2.2032,0.8475,
4.6,0,0,10,2.5431,2.1453,0.8436,2.5995,2.1854,0.8407,
4.7,0,0,10,2.5431,2.1263,0.8361,2.5995,2.1671,0.8337,
4.8,0,0,10,2.5431,2.1066,0.8283,2.5995,2.1488,0.8266,
4.9,0,0,10,2.5431,2.0892,0.8215,2.5995,2.1311,0.8198,
0.1,0,0,2,0.7211,0.7177,0.9953,0.7710,0.7772,1.0081,
0.2,0,0,2,0.7211,0.7131,0.9889,0.7710,0.7796,1.0112,
0.3,0,0,2,0.7211,0.7072,0.9808,0.7710,0.7798,1.0115,
0.4,0,0,2,0.7211,0.7006,0.9715,0.7710,0.7788,1.0102,
0.5,0,0,2,0.7211,0.6927,0.9606,0.7710,0.7759,1.0064,
0.6,0,0,2,0.7211,0.6851,0.9500,0.7710,0.7721,1.0014,
0.7,0,0,2,0.7211,0.6791,0.9418,0.7710,0.7669,0.9947,
0.8,0,0,2,0.7211,0.6728,0.9330,0.7710,0.7598,0.9855,
0.9,0,0,2,0.7211,0.6628,0.9192,0.7710,0.7529,0.9766,
1.0,0,0,2,0.7211,0.6519,0.9040,0.7710,0.7430,0.9637,
1.1,0,0,2,0.7211,0.6433,0.8921,0.7710,0.7320,0.9495,
1.2,0,0,2,0.7211,0.6334,0.8783,0.7710,0.7244,0.9395,
1.3,0,0,2,0.7211,0.6216,0.8620,0.7710,0.7130,0.9248,
1.4,0,0,2,0.7211,0.6126,0.8495,0.7710,0.7026,0.9112,
1.5,0,0,2,0.7211,0.6055,0.8397,0.7710,0.6885,0.8930,
1.6,0,0,2,0.7211,0.5933,0.8227,0.7710,0.6729,0.8728,
1.7,0,0,2,0.7211,0.5737,0.7955,0.7710,0.6638,0.8610,
1.8,0,0,2,0.7211,0.5545,0.7689,0.7710,0.6487,0.8414,
1.9,0,0,2,0.7211,0.5341,0.7406,0.7710,0.6329,0.8209,
2.0,0,0,2,0.7211,0.5193,0.7202,0.7710,0.6178,0.8013,
2.1,0,0,2,0.7211,0.5006,0.6942,0.7710,0.6031,0.7823,
2.2,0,0,2,0.7211,0.4813,0.6674,0.7710,0.5863,0.7605,
2.3,0,0,2,0.7211,0.4706,0.6526,0.7710,0.5624,0.7295,
2.4,0,0,2,0.7211,0.4561,0.6325,0.7710,0.5512,0.7149,
2.5,0,0,2,0.7211,0.4406,0.6109,0.7710,0.5251,0.6811,
2.6,0,0,2,0.7211,0.4316,0.5985,0.7710,0.5148,0.6677,
2.7,0,0,2,0.7211,0.4257,0.5903,0.7710,0.4858,0.6301,
2.8,0,0,2,0.7211,0.4023,0.5579,0.7710,0.4727,0.6132,
2.9,0,0,2,0.7211,0.3506,0.4862,0.7710,0.4414,0.5725,
3.0,0,0,2,0.7211,0.3075,0.4265,0.7710,0.4237,0.5495,
3.1,0,0,2,0.7211,0.2790,0.3869,0.7710,0.3801,0.4930,
3.2,0,0,2,0.7211,0.2510,0.3480,0.7710,0.3586,0.4651,
3.3,0,0,2,0.7211,0.2386,0.3309,0.7710,0.3186,0.4132,
3.4,0,0,2,0.7211,0.2310,0.3204,0.7710,0.2512,0.3258,
3.5,0,0,2,0.7211,0.0834,0.1157,0.7710,0.1865,0.2419,
3.6,0,0,2,0.7211,0.0563,0.0781,0.7710,0.1022,0.1325,
3.7,0,0,2,0.7211,0.0539,0.0747,0.7710,0.0000,0.0000,
3.8,0,0,2,0.7211,0.0528,0.0733,0.7710,0.0000,0.0000,
3.9,0,0,2,0.7211,0.0522,0.0724,0.7710,0.0000,0.0000,
4.0,0,0,2,0.7211,0.0518,0.0718,0.7710,0.0000,0.0000,
4.1,0,0,2,0.7211,0.0515,0.0714,0.7710,0.0000,0.0000,
4.2,0,0,2,0.7211,0.0513,0.0712,0.7710,0.0000,0.0000,
4.3,0,0,2,0.7211,0.0512,0.0709,0.7710,0.0000,0.0000,
4.4,0,0,2,0.7211,0.0510,0.0708,0.7710,0.0000,0.0000,
4.5,0,0,2,0.7211,0.0510,0.0707,0.7710,0.0000,0.0000,
4.6,0,0,2,0.7211,0.0509,0.0706,0.7710,0.0000,0.0000,
4.7,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,
4.8,0,0,2,0.7211,0.0508,0.0705,0.7710,0.0000,0.0000,
4.9,0,0,2,0.7211,0.0508,0.0704,0.7710,0.0000,0.0000,
0.1,0,0,10,2.5431,2.5441,1.0004,2.5995,2.5997,1.0001,
0.2,0,0,10,2.5431,2.5448,1.0006,2.5995,2.6017,1.0008,
0.3,0,0,10,2.5431,2.5450,1.0007,2.5995,2.6021,1.0010,
0.4,0,0,10,2.5431,2.5451,1.0008,2.5995,2.6037,1.0016,
0.5,0,0,10,2.5431,2.5447,1.0006,2.5995,2.6043,1.0019,
0.6,0,0,10,2.5431,2.5435,1.0001,2.5995,2.6034,1.0015,
0.7,0,0,10,2.5431,2.5417,0.9995,2.5995,2.6034,1.0015,
0.8,0,0,10,2.5431,2.5395,0.9986,2.5995,2.6018,1.0009,
0.9,0,0,10,2.5431,2.5363,0.9973,2.5995,2.5985,0.9996,
1.0,0,0,10,2.5431,2.5322,0.9957,2.5995,2.5966,0.9989,
1.1,0,0,10,2.5431,2.5273,0.9938,2.5995,2.5931,0.9976,
1.2,0,0,10,2.5431,2.5219,0.9916,2.5995,2.5884,0.9957,
1.3,0,0,10,2.5431,2.5163,0.9894,2.5995,2.5836,0.9939,
1.4,0,0,10,2.5431,2.5105,0.9872,2.5995,2.5766,0.9912,
